

"Alarm Records -- Query Alarm Logs"
"Save Time: 10/30/2013 10:17:04"
"User Name:khoand"
"
Occur in latest = 1hours.
Special status = NORMAL.
Time mode = NE time.
Log type = Generation log.
"

" ","Acknowledgement Status","Acknowledgement Time(ST)","Acknowledgement User","Additional Information","Alarm ID","Alarm Source","Arrive Time(ST)","Auto Clear","Clearance Status","Clearance Time(NT)","Clearance Type","Clearance User","Common Alarm Identifier","Equipment Alarm Serial Number","Link Name","Link Type","List Serial Number","Location Information","Log Serial Number","Log Type","Maintenance Region","MO Object","Name","NE Type","Object Instance Type","Occurrence Time(NT)","Operation Impact Flag","Severity","Special Status","Threshold Name","Type"
-,-,-,-,-,5314,BLABL1H/LABL06,10/30/2013 08:53:02,yes,-,-,-,-,NA,672525,-,-,39362,"Site No.=66, Board Type=DDPU, Board No.=5, PassNo=255, SubLink No.=255, CellNo=65535, Site Type=BTS3012, RackNo=255, BoxNo=255, SlotNo=255, Site Name=LABL06",1285710,Generation log,-,LABL06,CDU Band Mismatch ARFCN Alarm,GBTS,-,10/30/2013 08:53:02,-,Major,NORMAL,-,Hardware system
-,-,-,-,-,5312,BLABL1H/LABL06,10/30/2013 08:53:02,yes,-,-,-,-,NA,672526,-,-,39363,"Site No.=66, Board Type=DDPU, Board No.=5, PassNo=255, SubLink No.=255, CellNo=65535, Site Type=BTS3012, RackNo=255, BoxNo=255, SlotNo=255, Site Name=LABL06",1285711,Generation log,-,LABL06,Board Type Mismatch,GBTS,-,10/30/2013 08:53:02,-,Major,NORMAL,-,Hardware system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 08:53:54,yes,Cleared,10/30/2013 08:54:18,normal clear, < NE operator > ,NA,672527,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285712,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 08:53:51,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 08:54:33,yes,Cleared,10/30/2013 08:54:39,normal clear, < NE operator > ,NA,672528,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285713,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 08:54:30,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 08:54:52,yes,Cleared,10/30/2013 08:56:50,normal clear, < NE operator > ,NA,672529,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285714,Generation log,-,LACD18,-,GBTS,-,10/30/2013 08:54:50,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 08:56:09,yes,Cleared,10/30/2013 08:56:12,normal clear, < NE operator > ,NA,672530,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285715,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 08:56:06,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 08:57:04,yes,Cleared,10/30/2013 09:13:08,normal clear, < NE operator > ,NA,672531,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285716,Generation log,-,LACD18,-,GBTS,-,10/30/2013 08:57:02,-,Major,NORMAL,-,Environment system
